문장,target
 요즘은 스포츠 뉴스를 보면 넘 기분 좋은거 있죠?,0
최우수상은 커녕 우수상도 못받으셔서 mbc 뭐 이런데가 다 있나 했더니대상을 받으실줄이야.,0
 다시한번 생일축하하고.,0
신바람 나는 LG!!!,0
 400일 정말 축하해!!,0
하지만 괜찮아요!!!,0
정말 진심으로축하드려요♥♥♥♥♥,0
 그리고 발렌타인데이♡ ㅎㅎ,0
노래정말좋고 수고했어요!!!!,0
암튼 올시즌 첫 홈런 축하드립니다~~~,0
다음 시즌땐 꼬~~,0
 게다가 곧있으면 생일!!,0
 우히히.......  어제 무한도전 너무 재밌게 봤어요,0
 내일 시험끝나니까 내일 편지는 더 길게 쓸게요!,0
 그리고 열심히 노래들어서 꼭 1등 시켜줄게요ㅎㅎ,0
홍홍홍홍  웰케 잘생겨졌냐면서..,0
아쉽지만 축하해요,0
하하하결혼도 축하하고요!!,0
안뇽~오늘 더쇼 1위 진짜진짜 축하하고!,0
 생일축하해용ㅎ,0
한시간 동안 재밌게 잘 볼게요,0
오빠 생일 축하해용!!!,0
 잊지 못할 크리스마스 선물 줘서 진짜 고맙고 앞으로도 절대 잊지 못할 것 같아요ㅎㅎ,0
호날두 이제 확실히 폼 떨어진줄 알았더니 귀신같이 다시 골머신됨 ㅋㅋㅋㅋ,0
기자 싱글벙글 곧 댓글 1500개,0
유명짤하나 탄생했네 ㅋㅋㅋ,0
역쉬 커쇼다.~~^^,0
축하합니다. 행복하세요^^,0
나이스4명깔았다,0
이 젊은이들이 있기에.... 아직은 희망을 가져봅니다....,0
엘지져서 기분좋은사람??,0
김연경 화이팅!!!,0
갑돌이랑 갑순이덕에 너무 재미있었음 ,0
오늘 촬영하는거 봤는데 공유 존잘,0
ㅋㅋㅋ오타니봐라 얼마나억울하냐,0
유시진대위 또 이걸 해냅니다~^^,0
축하해요♥♥♥♥♥♥,0
올해는 케베스의 해였네 누굴줘도 이상하지 않아. 다 인정이야,0
캬!! 장관이로고 자연의 아름다움이 느껴지네,0
이제시작이다!!,0
오 엠비씨 자네 왔는가 ㅋ,0
연예인들 전부이러면 악플러들 많이 사라질텐데 잘햇다,0
기상케스터 머리 보니 날씨 짐작이 갑니다^^,0
여기 댓글도 아주 난리났네 이병헌 마스터 대박나자!!,0
인물도곱고 맘씨도 아름다바라~~♡♡♡,0
유재석 최고~~^^,0
너 진짜 웃겨 인정 이제야 재능을 살리는듯,0
김세정 진짜 이쁘다,0
SES 노래는 지금들어도 정말 좋은데 다시 재결합을 한다니까 너무 기대되네요!,0
광희가 잘되서 기분좋네!,0
딘딘이 너무 귀엽고 웃김 ㅋㅋㅋ,0
태연이랑 결혼하고 싶어요,0
어머님들 표정이 진짜 재밌었음. 진짜 리얼 표정 ㅎㅎㅎ,0
오락가락이 붙었다!!!!!ㅋㅋㅋ,0
우리나라는 양호한거네 위로가 된다,0
이런 저질프로가 폐지되서 정말행복합니다. 대한민국만세,0
진짜 고생했다 받을만해씀 ㅊㅋㅊㅋ,0
정말 대단하고 멋지십니다~♥,0
후반에 얀센뻬고 손흥민 중앙이동이 신의 한수였다,0
나도 친구분처럼 김영철 씨가 가장 웃기다고 생각했었는데 지금은 정말 멋있는 개그맨이 된듯,0
재석 삼촌 축하해요!!♡,0
아는형님 진짜 개재밋음ㅋㅋ,0
언제봐도 늘 멋쪄요~♡,0
맨유 : 아스날 경기가 기대된다ㅎㅎ,0
18년뒤면그래도 살아잇네 다행,0
수지 힘내세요!!♥♥♥,0
내고향 울진!,0
더울땐 사무실이 짱....,0
고경표 흥해랏^^~~~~,0
풍악을울려라~~!!,0
오호호호 ! 내일 하는군욥!,0
육성재 화이팅!!! ㅠㅅㅠ,0
최유정 김도연 축하합니다!!,0
요즘 배우중 조보아 참 이쁘던데~~^^,0
신범죄구단 엔씨 ㅋㅋㅋㅋㅋㅋㅋㅋ 축하한다,0
정말 국내에선 박병호나 손아섭이라는 톱타자보다 못했으나 국제경기에 가면 상당히 강했나보네~ 내년시즌 김현수 기대해도 좋다.,0
미안하다 우리가 승리다,0
구르미에서 연기 너무 잘하셔서 호감!!,0
연기는 연기고 사생활은 사생활 일 뿐~~축하!,0
오 드디어 ㅋㅋ 열일하는 나피디 ㅋㅋ,0
축하드려요 여자친구,0
대전 날씨 매우 맑음.,0
똑똑하다 그랬는데... ㅊㅋㅊㅋ,0
기부천사 스크!!!,0
어제 너무 재밌게봤어요!오늘도 기대합니다!,0
머머리아재들 희소식 노벨상감,0
"성노을, 화이팅!!!",0
조정석. . . 연기 느무 잘해염~!!,0
조기에 빠른 대처를 하신 기장 및 승무원 그리고 지시에 따라주신 승객까지.. 모두 잘하셨습니다!,0
류제국 오늘 지렸다...ㅠㅠㅠㅠㅠㅠ,0
보면서 넘 흐뭇함~~,0
너무 잘하는데 더더 잘되라~!ㅎ,0
축하드려요~~!,0
흥해라 흥해라 손세이셔널~~,0
오늘 12시에 형돈이와대준이 피처링 아이유 음원나와요^^많이들어주세요~,0
좋아요!!!!맨날 들어야지~~~~~♥?힘Him!!,0
멋지다 추진력~~!!,0
김사부님 서정이 수술찬성할때 정말 리액션 귀여웠음,0
얼굴부터 마음까지 예쁜 우리 지원언니! 응원할게요!!!,0
연말에 박보검 배우 볼수 있다 ...조으당~~~,0
기아가 영입할듯?35년 기아팬이??,0
유느님 대상 축하드립니다,0
무한상사 야유회때 정말 웃겼는데.. 아쉽네요,0
이나이에 이정도 활약하는거 보면 전성기때 epl갔으면 씹어 먹었을듯.,0
ㅋㅋㅋㅋ난 코빅에서부터 양세바리 좋았어 ㅋㅋ 이대로 고정까지 가라 ㅋㅋ근데 양세형 안티가 별로 없네 ㅋㅋ 머리스타일이 초딩가틈 ㅋㅋㅋ 까불까불한 초딩 ㅋㅋ,0
나이스샷 ~~~~~,0
이태원 바에서 예은봤는데 성격엄청좋아보임 ㅎㅎ 물론 얼굴도 예쁨 행쇼,0
공민왕 후손인가 ㅋㅋ,0
이준기 연기인정하죠 매력적이고,0
너무도착하고 천사같은 박보검 화이팅,0
좋은 관계 잘 유지하세요. 결혼까지 가면 좋지만 ...^^,0
차우찬가지고 쥐레발은 좀 너무하지않냐 ㅋㅋㅋㅋㅋㅋㅋ,0
어딜가나 박자 놓치는 고문관 한둘은 나오는데 오늘 집회 촛불 소등 완벽했음.,0
물 들어오니까 제트엔진 달았네,0
여전히 두산이 최강이네 이리보고 저리봐도 4명이 다 잘해 ㅎㅎ,0
핸드폰 인증보다 아이핀인증이 아주 쬐금 더 편하더라.,0
임신이면 누가 뭐라하냐? 둘다성인인데 축하할일이지!!,0
태현아 아직도 안믿기지만 항상응원할게♡♡♡,0
연기 너무 잘해요~ 루이가 너무 보고싶어요!,0
수상축하드립니다~~,0
리얼 기대기대 믿고 봅니다 ♡,0
준영아! 앞으로 많이 행복하자,0
특검잘하고있다!!!,0
기아가 승리한다.ㅇㅇ,0
멋지당 랄프 화이팅 오래 살아랑,0
오늘도 남의 불행에 저절로 웃음이 나옵니다^^,0
저거다. 저게 바로 내가 기다리던 내 햄버거야,0
나나이쁘다 ㅠㅡㅠ 잘되서 흥하길!!,0
이거 보면 즐라탄은 진짜 자기관리가 대단하다 최고의 선수다움,0
추워서 조으다,0
림아 축하해♡♡♡!!,0
이 기사 개꾸르잼,0
ㅋㅋㅋㅋㅋㅋㅋ졸 우낀다 ㅎ 주사 ㅋㅋㅋ,0
어려워지기 전에 기능 통과하고 쉬워진 도로주행 통과... 후진따위 안하고 통과. 앙 개꿀띠,0
너무 몰입되서 오랜만에 좋은 드라마 봅니다~~연기들 너무잘하세용,0
노래가좋아,0
멋진 베네딕트~~!!,0
6만원짜리중고자전거사서 3달째 출퇴근하는데배도들어가고 자전거값은 뽑음ㅋ,0
더블유가 너무 신선하고재밌어서...,0
서영주 배우 응원하고 기대합니다!,0
진짜 골키퍼 하드케리로 승점5점 땄네 ㅋㅋ,0
우리 집은 xp 아직도 잘 쓰는 중ㅋㅋ 사이트 안 되는 건 크롬 써서 하고,0
봐라 결국 돌아오잔니ㅋㅋㅋㅋㅋ,0
정유라 최순실님 감사합니다,0
무조건 1번을외치던 우리 아무지도 이제슬슬 닭욕하기시작ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
폭스바겐같은 삼류기업이랑은 as나 서비스의 질이 틀리구먼 허허..,0
무조건 본다~~~^^라미란 파이팅~-ㅎㅎ,0
예전에 술마시고 냉장고에 볼일본 사연 웃겼는데,0
대놓고 ppl이 어색하지 않은 요상한 드라마 ㅋㅋㅋㅋㅋ,0
축하해요 소연언니!!,0
응원합니다!!!! 꼭 대상받으시길♥,0
???첼시가 이길텐데,0
믿고보는 팀 버튼 감독님 빨리 보고싶다,0
기대기대~~왕기대~,0
역쉬 실력자들 !!!,0
오랜만에 시원하다~,0
완전 귀요미.,0
무도는 레전드만 내보내도 6개월은 떼울 수 있음ㅋㅋㅋ,0
멋쪄 멋쪄 다 멋쪄,0
고영태 멋지다 금메달감이다,0
"악마의 연기 선곡은 진짜 신의 한수, 중간에 양싸 흉내내는건 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",0
이재용이 구속안된게 내가 기분이 좋네 ~^^,0
박보검 구르미 더더더 흥해라 ㅊㅋㅊㅋ,0
축하드려용^^♡♡,0
사이다 다,0
속이 다 시원합니다,0
신한슬기자님 예쁘세요,0
역시 이대호~ 알아서 잘해주네요~~ 쭉쭉 갑시다ㅎ,0
티벳가기 편하겠네,0
오 그렇네 재밌었던 영화,0
막내야! 돌아와서 반가웠어~~ 앞으로 더 분발하자.,0
날씨 좋~다~!!!!,0
김현수화이팅!!!항상응원할게요!!!!!!,0
기사를 잘 쓰시네요 ㅎㅎ 구르미 본방사수~,0
역시 명불허전 박효갓,0
족발 예약한 시간 됐구나~~,0
잼나겠어요~ 민경훈도 화이팅,0
진짜.눈 깜빡이는 시간도 아까운 드라마~~~,0
차태현 나오니 더욱 재미나겠네요..기다려집니다,0
회복하셨다니 다행입니다. 응원합니다!,0
믿고보는배우이종석~~본방사수,0
비가 촉촉히 와서 좋네요,0
프로야구발전을 위해서 1라운드만 하기로 했습니다!!,0
잘생겼다. 귀엽고 섹시하고 매력이 많아,0
대단하다 대단해 .... 곡성근,0
크면 좋은것이다..아빠를 자랑스럽게 생각할수 있어~ㅋ,0
진짜 재밌었다.마지막까지,0
삿포로 맥주 너무맛있다ㅜㅡㅜ,0
축하한다 축하한다 멋지다 멋지다,0
안 본 사이 더 예뻐 지셨어요.,0
여태본 의학드라마중 단연최고~,0
미쳐 활동때 배추머리는 대박 카리스마개쩔,0
에릭 대박ㅠ못하는게 뭐예요?,0
돌아가면서 뽀뽀 해주고 싶다 ♡,0
코라도 마셔보고 저 영감 땡잡았네,0
홈런에 무너져버렸네엔씨축하드려요,0
엘지 화이팅입니다!!,0
저희도 딩크형님 오실 때마다 반갑고 좋습니다.,0
라이브 듣고 완전 소름. 유스케 기대된당!!!,0
예능이 무한도전 이전과 이후로 나뉘듯 드라마도 도깨비 이전과 이후로 나뉠듯 정말 기똥찬 드라마 나왔네요^^,0
노래는 시바가 훨좋다.. 그리고..귀엽고좋다.. 활동을 몇번만 더하면 역주행한다,0
X맨 부활인가요?,0
존재감 쩔었음ㅎㅎㅎ,0
김종민씨 진심으로 축하드려요~ ㅎㅎ1박2일~대박나세요 ㅎㅎㅎ,0
야식은 치킨이 진리군 ㅋ,0
완전 웃김 재밌서 스트레스빵,0
두 분 축하드려요! 나도 결혼하고 싶다 ㅜㅜ,0
루니가 축구 잘해.,0
날씨관심없고 기상캐스터 보러 온당 데헿,0
항상 행복하세요 좋은 곡으로 만나요~,0
"우연적으로 파여진 흔적가지고 망상이 심한사람들보면 참 ,ㅋㅋ 개울가에 굴러다니는 돌도 잘찾아보슈 재미난 모양 많수다",0
도전한자는 멋지다^^,0
난 남잔데 설현보다 송중기 멋진 모습 보는게 더 좋더라...암낫게이,0
한화에서 유일하게 관리받는분 송은범 ㅋㅋㅋㅋㅋㅋ,0
신선하다 그리고 지루하지 않아 보면서 힐링이 되는 기분이다..,0
나라를 구한다는게 이런거지...,0
아 막판에 ses컨셉 콘서트보고 배꼽빠지는줄....,0
 둘다 잘생겼으니까 인기있지 ㅋㅋㅋ,0
 지금 생각하면 유익한 프로그램이었던듯,0
 드라마화가 뭐 오나귀 가 좀 특별나게 재밌었지만 이것도 좀 재밋어요,0
 이렇다 저렇다 기자들의 말이 많지만 무한도전 특유의 재미가 있으니 그냥 믿고 봅니다.,0
우리 서중원 변호사님 최고라지요!!,0
난 일단 비쥬얼 짱인 푸바,0
기사에 임신으로 두배의 기쁨이라니ㅠ,0
누가봐도 아버지와딸인데??ㅋㅋㅋㅋㅋㅋㅋ,0
미세먼지에 시달리다보니 장맛비 소식이 이렇게 반갑네요!!,0
" 하면서 보아스랑 비교하면서 재밌었는데 ㅋㅋㅋㅋ""",0
기도하는 입보다 돕는 손이 더 이쁘다.,0
아 손호준만 보면 멜팅호준 떠올라 ㅋ,0
아이유 너무 예쁘고 사랑스러워요~,0
 몰랐는데 훤칠하고 멋있음,0
박보검 진심으로 축하해요.,0
손흥민...토트넘의 승리...!,0
 요즘 최고 잼나도 듀가 노래도 멋졌음,0
기사볼때마다 그냥 흐뭇하다 ㅋㅋㅋ,0
 앞으로도 아이들의 건강한 웃음을 기대하겠습니다.,0
기부를 하는 본인이 더 행복하고 마음이 따뜻해진다는걸~~~^^,0
와 추카추카 작감배 다들 덕분에 드라마 잘 보고 있어요.,0
누나예뻐요ㄹㅇㄹㅇㄹㅇㄹㅇ,0
그동안 수고 많으셨습니다..,0
 유용한 정보인듯 합니다~~^^,0
찬성하는 정책이다!,0
어제 나올 때마다 웃은듯ㅋㅋㅋㅋㅋㅋ,0
 금연한 돈으로 기부까지 ^^,0
왠만하면 글 안 남기는데 정말 대단하세요 ♡,0
멀리서나마 응원하고있어요 ㅎㅎ,0
트럼프 각하 축하드립니다.,0
진짜 둘 보면 저절로 엄마미소가 지어진다ㅋ,0
그래도 이제 밤엔 션해서 좋아용,0
근데 피디는 개웃기다,0
참 괜찮네~,0
재미있을듯 권상우 정준하도 홧팅.,0
시체팔이 실패 개꿀잼 ㅋㅋㅋㅋ,0
남자크루 같았으면 snl 폐지하자고 난리부르스를 쳤을텐데ㅋㅋ,0
 어제 재밌게봤는데,0
제가 하고싶었던걸 해주시니 가슴이 뻥 뚤리는 기분이네요,0
 노래도 좋은데,0
"특검,,, 확고한 의지가 엿보이네!!",0
신곡반갑네요ㆍ,0
 꿀이로구나 둘이 붙어있는 씬 케미 최고,0
솔직히 안오니까 좋기만하다.,0
난 달이랑 태양보고 지구가 둥근줄 알았다 ㅋㅋㅋㅋㅋㅋ,0
아수라가 생각보다 재미가없엇고 럭키가 생각보다 너무 재밋어서 입소문으로 대박남ㅋㅋㅋ,0
 진짜 존멋 개멋,0
솔직히 기분 좋다 ㅎㅎ,0
 난 무도만의 콩트 되게 좋아요,0
 추카드려요,0
 여성분들 시청률이 꽤 놓은데 역사를 알고 보는 입장에서 너무 흥미진진합니다,0
 넘어지는 장면은 진짜 혼자 시트콤찍는줄ㅋㅋㅋㅋ,0
 기대보다 빨리 실현되어 너무나 행복하네요!!,0
 보수의 해체를 축하한다,0
여름은 끝자락에 시원하고만~~,0
" 올해 한번 일내보자~~김성근 감독님, 오간도, 한화이글스 화이팅!!",0
그와중에 던파는 재밌더라,0
앗싸 꽃피는 춘삼월 좋은소식 대한민국 방방곡곡 울려퍼지겠네,0
 앞으로도 좋은 배우가 되었으면 좋겠다.,0
얼마나 꿈같을까짝짝짝,0
육중완님이 성재 진짜 좋아하심ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
넥센 화이팅,0
저희집도 아이들과 소등했어요^^,0
엄정화 좋음.,0
새로운 역사의 시작을 준비해주세요!!,0
애기들 다행이다 ㅠㅠ,0
그래 김종민하나줘야지 축하합니다,0
그냥 감동이네요...,0
넘나재미씀,0
김건모 어머님 너무 잼나요,0
 규현 화이팅♡,0
손나은 첫 등장할때 너무 예뻤음,0
대상 축하드려요.,0
멋지고 자랑스런 우리 국민!!,0
누나는 식빵구울때가 젤 머싯어요,0
와 다행이다!!!!!!,0
태극기 걸은 게 맘에 듭니다 !!!!,0
 골 진짜 멋있게 들어갔다,0
그래도 인생드라마는 확정인듯,0
양세형 대상후보랑 숏터뷰 형식으로 얘기하는거 윳겨서 그거보고 껏다 ㅋㅋㅋㅋ,0
임신축하드려요.,0
맹뚜기 30초요리ㅋㅋㅋㅋ,0
 아이돌중에서 미모 탑이다진짜!!,0
더블유 존잼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
ㅋㅋㅋㅋ크트는이원석안데려오길잘햇다ㅋㅋㅋ,0
완전 뿌듯 ~~,0
새미....너무귀엽네 ㅋㅋㅋㅋ,0
생활속의 작은 기쁨 ㅎㅎ0,0
옵파그러지말고한번더보자!!ㅎㅎ,0
이제 연말이네요~,0
면접 안보고 바로 최종합격은 아님?,0
국군장병전우들아 수고해요 ~ㅋ,0
아기엄마들의 전투육아 스토리를 이모티콘으로 만들어 봤어요.,0
애들 편도나 기관지 쪽에 좋은 제품들 주길래 혹 하는 맘에 해봤어요 ㅎㅎㅎ,0
그 여자애가 연예인을 좋아해서 전에 생일때도 앨범을 사줬는데 좋아하더라구요.,0
 부산에 부릉부릉 갔는데~~ 해운대에~~바다보러가서~~맛나게 스파게티도 먹어주시구~~,0
일하면서들었는대커플탄생인거같드라ㅋㅋㅋㅋㅋㅋ,0
외모상으로 똑부러지고 야무질거같은 느낌드는 여자,0
어떻게 하다보니 운좋게?취업 안되면 오라는 회사 한군데를 알게되었는데요,0
나 말년휴가나왔다복귀하면 제대한다 ㅋㅋㅋㅋ,0
남중 남고를 지내왔던저에게디자인대학은 정말 꿈만같은 곳이었습니다.,0
오늘도 500원짜리 5개? 100원짜리 2개 주웠네 ~~~~,0
 심장이 쿵쾅쿵쾅그날을잊을수가업ㅂ다.............,0
4월에 첫 출근한 인턴인데 5월 4일 샌드위치데이에 회사 쉰다고 하더라구요.ㅎㅎ,0
 아침에 눈뜨자마자 ㅋㅋㅋ,0
근데발렌테인데이 때전 고급초콜릿이랑백화점에서 옷 사줬어요편지도 쓰고요.,0
다음주부터 사각턱이랑 광대 눈 상담받으러 상담투어 갑니다 ㅋㅋ,0
어차피 전 중국어를 공부할 생각이라 여기 신청했는데보니까 괜찮은 거 같아서 남겨 봅니다 ~!,0
 아.. 아무튼 좋네요0,0
귀가따뜻핼.ㅎㅎ,0
다들 응원 열심히 해봐옹ㅎㅎ~~,0
제가 아직 취준생이라 돈은 별로 없어서 고민중이었는데지금 세일도 많이 한다고하더라구요,0
 여긴 수수료도 안받더라구요 ㅋㅋ,0
지금은 22살 아기는 이제 돌 됐어요,0
꽃다발 하나 선물해 보세요^^~~,0
인맥도 환영합니다^^,0
교복은 진짜 얘만큼 잘어울리는애 없음,0
오늘은 치즈김밥 줘서덕분에 먹으면서 아침 맞이했다.,0
 나처럼 지금 돌침대 누워있으니까 시원하기만 한데,0
빼고 다 내스탈이야넌 내꼬♥♥♥,0
 천상여자 같은 느낌이야.,0
사진은 이뻐서ㅎ,0
내 자신이 대견해.,0
그걸 해줘야 릴렉스도 되구복근이 이쁘게 생긴단다 ㅋㅋ,0
우리 다 잘될거에요!,0
 친추할게요!!,0
아 진짜 덕분에 오랫만에 실컷웃네요,0
지난 삼성전에 6실점하고 승리하신것 넘 추카추카 드리구요,0
우리모두에게  진정한 도움이되는 셰프님 - 국민셰프님  입니다.,0
반찬을 넘 쉽게 척척 만드시네요~,0
재밌고 늘 행복해진답니다,0
히히 안녕하세요,0
"v오빤 언제나 저에겐 최고에요 , 오홍홍",0
 그리고 대상 축하드립니다~~~~,0
 오빠 아프다는 소식 듣고 눈앞이 캄캄 했는데 오늘 그 어둠이 조금이라도 사라졌어요,0
이따 예밤에서 뵈요!!,0
 그래도 캐럿이라는 이름이 있는것만으로 만족합니다!,0
어제 너무 좋았습니다.,0
건강하시고... 행복하세요!!,0
ㅋㅋㅋㅋㅋㅋ흑역사라 하긴 뭐한데 그 내가 쓴 댓글 보기 하는거 있잖아,0
상큼한 트레이닝복 화보 촬영중인 나나!,0
외모는 충분히 이쁘다..,0
제대해서 좋아~~~~,0
끝까지 응원한다 성운이!!,0
솔직히 한효주니까 여신인거지???,0
잔머리 하나는 진짜 갑인 것 같아요 ㅋㅋㅋ,0
4개월쫌 넘은 아기입니다~,0
이러는데너무 귀여워 죽겟닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
노래도 좋고0,0
 세븐틴이랑 정한님께 조공을 바치며 살아가겠습니다...,0
TV에서 자주 뵙는데 멋지십니다,0
너무너무 좋다,0
 오늘 대박 세일가로 스틱 분유 사가지고 왔어요.,0
이것도 아무말대잔친데 기분 요상하지 ?? ㅋㅋㅋㅋㅋㅋ,0
키디 맥시프로로 제주도 여행 계획중입니다,0
결과적으로 여친이 한번 눈 감아준답니다.,0
수고가 많으시네요...다비드상 참멋있어요....그배..참..멋져요..!!!앞으로..,0
 멋진 백주부님!,0
정말 오랫만에 연아선수의 아름다운 연기를 볼수있게 되어서 정말 기뻤어요.,0
 메리크리스마스!!!!~      ㅋ,0
 오빠의 행동하나하나가우리에게 즐거움을 주네요.,0
생일 맞으신거 정말 진심으로 추카드려요.,0
><!오빠 감정 최고에요,0
 너무 훌륭했어요!!!,0
